rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
0.99262446,,,,,0.0001,68.08242797851562,0.8393522650003433,-0.0006827015662565827,1.0094799995422363,0.000226653,0.0,3670,-5.713356280326844,0.2,141.1664077758789
0.24400336,,,,,,,,,,,,,,,
,753664,191,3930,368,,,,,,,,,,,
1.5164225,,,,,0.0001,11.613304138183594,0.8936259001493454,-0.0010859721922315657,1.0094482898712158,0.00070073386,4.8828125e-05,3680,-5.713272452354431,0.2,35.98850727081299
0.42804077,,,,,,,,,,,,,,,
,755712,191,3941,369,,,,,,,,,,,
0.36367556,,,,,0.0001,8.608782768249512,0.9146660715341568,-0.0018544354941695928,1.0095537900924683,0.0032668582,0.00283203125,3690,-5.713279962539673,0.2,25.014293098449706
0.491372,,,,,,,,,,,,,,,
,757760,191,3951,370,,,,,,,,,,,
0.23707163,,,,,0.0001,1.5473116636276245,0.7831626534461975,-0.00619439510628581,1.0095887184143066,0.009834362,0.066015625,3700,-5.713813757896423,0.2,5.0939741969108585
0.5918326,,,,,,,,,,,,,,,
,759808,191,3962,371,,,,,,,,,,,
0.2560783,,,,,0.0001,0.9441094994544983,0.9459754750132561,-0.00938756624236703,1.0089565515518188,0.011559794,0.119873046875,3710,-5.7130680799484255,0.2,2.288373738527298
0.30623952,,,,,,,,,,,,,,,
,761856,191,3973,372,,,,,,,,,,,
0.4069009,,,,,0.0001,13.060226440429688,0.9429659061133862,0.0010485517559573054,1.008418083190918,0.009611912,0.1447265625,3720,-5.709981036186218,0.2,29.577074337005616
1.2454582,,,,,,,,,,,,,,,
,763904,191,3983,373,,,,,,,,,,,
0.3579595,,,,,0.0001,2241.659912109375,0.20247507095336914,-0.00047886583488434555,1.0083222389221191,0.0020508491,0.005078125,3730,-5.708928513526916,0.2,4321.965490722656
0.19778673,,,,,,,,,,,,,,,
,765952,191,3994,374,,,,,,,,,,,
0.3897482,,,,,0.0001,2.150214195251465,0.9643016718327999,-0.0066480763955041764,1.0088306665420532,0.0055896016,0.060595703125,3740,-5.709416031837463,0.2,5.166670191287994
0.673424,,,,,,,,,,,,,,,
,768000,191,4005,375,,,,,,,,,,,
1.2995108,,,,,0.0001,10.52402400970459,0.8987952098250389,-0.00027761948294937613,1.009202003479004,0.00262444,0.00400390625,3750,-5.7117764234542845,0.2,30.326867961883544
0.4461335,,,,,,,,,,,,,,,
,770048,191,4016,376,,,,,,,,,,,
0.6648336,,,,,0.0001,283.85247802734375,0.4984138607978821,-0.0005653598811477423,1.0092319250106812,0.000118903205,0.0,3760,-5.712344217300415,0.2,585.9220642089844
0.38995013,,,,,,,,,,,,,,,
,772096,191,4026,377,,,,,,,,,,,
1.4803191,,,,,0.0001,6.576173782348633,0.9174396395683289,-0.0028343460988253357,1.0092004537582397,0.0030470202,0.003173828125,3770,-5.712369680404663,0.2,15.238679504394531
0.22979026,,,,,,,,,,,,,,,
,774144,191,4037,378,,,,,,,,,,,
0.3440016,,,,,0.0001,26.21763038635254,0.9392696470022202,-0.003907662513665855,1.0091204643249512,0.0055926875,0.035107421875,3780,-5.712149500846863,0.2,53.026224517822264
1.1144184,,,,,,,,,,,,,,,
,776192,191,4048,379,,,,,,,,,,,
0.20326613,,,,,0.0001,1760.04931640625,0.20399808883666992,-0.0015080892480909824,1.0091007947921753,0.0011978229,0.0001953125,3790,-5.7118425369262695,0.2,3869.5760986328123
0.19211558,,,,,,,,,,,,,,,
,778240,191,4058,380,,,,,,,,,,,
0.28504825,,,,,0.0001,5.510381698608398,0.9368495866656303,-0.004489337978884578,1.0092976093292236,0.0058103036,0.014111328125,3800,-5.712127089500427,0.2,13.385541772842407
0.3760547,,,,,,,,,,,,,,,
,780288,191,4069,381,,,,,,,,,,,
0.43311837,,,,,0.0001,9.022186279296875,0.941589005291462,-0.0013487148913554846,1.0094058513641357,0.0021452298,0.001220703125,3810,-5.713024139404297,0.2,30.139721965789796
0.26606897,,,,,,,,,,,,,,,
,782336,191,4080,382,,,,,,,,,,,
0.5523498,,,,,0.0001,91.58161163330078,0.44633638858795166,-0.0034823222318664192,1.0095100402832031,0.003348453,0.00390625,3820,-5.713197374343872,0.2,180.88716316223145
0.62500364,,,,,,,,,,,,,,,
,784384,191,4090,383,,,,,,,,,,,
0.33323187,,,,,0.0001,7.95018196105957,0.74457648396492,-0.001962080970406532,1.0096338987350464,0.0046775313,0.00654296875,3830,-5.713744735717773,0.2,20.280798625946044
0.52464867,,,,,,,,,,,,,,,
,786432,191,4101,384,,,,,,,,,,,
0.4350419,,,,,0.0001,391.5990905761719,0.22585099935531616,-0.0010306997923180462,1.0097031593322754,0.0016136535,0.0017578125,3840,-5.714149689674377,0.2,910.8207550048828
0.5878692,,,,,,,,,,,,,,,
,788480,191,4111,385,,,,,,,,,,,
0.9544824,,,,,0.0001,15.79294204711914,0.6677733659744263,-0.00578430884052068,1.0097464323043823,0.0077017155,0.06640625,3850,-5.714334034919739,0.2,42.954969024658205
0.44070196,,,,,,,,,,,,,,,
,790528,191,4122,386,,,,,,,,,,,
0.20771444,,,,,0.0001,3.956299304962158,0.8146468549966812,-0.004488926799967885,1.010003685951233,0.019283082,0.082177734375,3860,-5.714778447151184,0.2,10.415735173225404
0.21838498,,,,,,,,,,,,,,,
,792576,191,4133,387,,,,,,,,,,,
0.31886393,,,,,0.0001,1.2046014070510864,0.7448682188987732,-0.007928503840230406,1.0106608867645264,0.016403364,0.153759765625,3870,-5.716390466690063,0.2,1.8205319613218307
0.3436695,,,,,,,,,,,,,,,
,794624,191,4144,388,,,,,,,,,,,
0.6184519,,,,,0.0001,2.316401720046997,0.8839718848466873,-0.0055825691320933405,1.0108230113983154,0.0069157984,0.09033203125,3880,-5.7187714099884035,0.2,5.3959810614585875
0.47679657,,,,,,,,,,,,,,,
,796672,191,4155,389,,,,,,,,,,,
0.4930968,,,,,0.0001,0.8820465207099915,0.9241643995046616,-0.010091604385524987,1.009963035583496,0.012340574,0.15107421875,3890,-5.71753454208374,0.2,1.9458091855049133
0.44025382,,,,,,,,,,,,,,,
,798720,191,4165,390,,,,,,,,,,,
0.319281,,,,,0.0001,2.365015745162964,0.9193029031157494,-0.005968822492286563,1.0097906589508057,0.012596894,0.12001953125,3900,-5.7145038604736325,0.2,4.951685202121735
0.25004265,,,,,,,,,,,,,,,
,800768,191,4176,391,,,,,,,,,,,
0.23110193,,,,,0.0001,2.214982748031616,0.711236298084259,-0.004928092390764504,1.00975501537323,0.006784803,0.065087890625,3910,-5.714809608459473,0.2,6.089757239818573
0.1409978,,,,,,,,,,,,,,,
,802816,191,4186,392,,,,,,,,,,,
